product_name,category,price,store,product_url,source_url,parsed_at
"Бильярдный кий для американского пула McDermott Lucky L06 двухсоставной, 148,8 см",cues,15320,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_amerikanskiy_pul/177877/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
Кий для американского пула McDermott Lucky L08 двухсоставной,cues,15320,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_amerikanskiy_pul/162614/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
Кий для американского пула McDermott Lucky L09 двухсоставной,cues,15320,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_amerikanskiy_pul/162615/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий для русской пирамиды Цезарь, двухсоставной",cues,15370,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/27288/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
Кий для снукера SED3 3/4+ экстендер двухсоставной,cues,15560,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_dlya_snukera/177664/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
"Бильярдный кий для русской пирамиды Каппа, двухсоставной",cues,15570,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/27275/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
"Кий для русского бильярда цельный (черный граб, махагон) 10 запилов",cues,15640,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/161606/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
"Бильярдный кий для русского бильярда Спайк (черный), двухсоставной",cues,15670,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/31128/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
"Кий для русского бильярда Титан-Про, двухсоставной",cues,15670,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/31154/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
"Бильярдный кий для снукера Престон двухсоставной 3/4, с удлиннителем",cues,15690,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_dlya_snukera/31669/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
Кий для бильярда карбоновый (черно-коричневый),cues,15710,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/256238/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
Карбоновый бильярдный кий (черный),cues,15740,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_amerikanskiy_pul/253568/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
"Бильярдный кий для снукера Ливерпуль двухсоставной 3/4, с удлиннителем",cues,15770,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_dlya_snukera/31670/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
