name,address,category,rating,reviews_count,review_url,district
Sova,"Маршала Бирюзова, 17, цокольный этаж, Одинцово",развлечения,4.9,29,https://zoon.ru/msk/entertainment/tsentr_parovyh_koktejlej_sova/reviews/,Другое
Весёлкин,"8 мин. • Нагатинский Затон улица Кухмистерова, 4, Главный вход, дверь слева от бара кинотеатра, Москва",развлечения,5.0,29,https://zoon.ru/msk/entertainment/detskij_tsentr_vesyolkin/reviews/,ЮАО
Медведь,"16 мин. • Тушинская Вишнёвая улица, 13, 4 этаж, Москва",развлечения,4.6,4,https://zoon.ru/msk/entertainment/lazertag-klub_medved_na_vishnyovoj_ulitse/reviews/,Другое
Золотой Шар,"4.3 км • Митино улица 50 лет Октября, 12, 4 этаж, Красногорск",развлечения,4.9,494,https://zoon.ru/msk/entertainment/bouling-klub_i_bilyardnyj_klub_zolotoj_shar_v_krasnogorske/reviews/,СЗАО
Bro Lounge,"8 мин. • Курская улица Земляной Вал, 8, Москва",развлечения,4.9,37,https://zoon.ru/msk/entertainment/kalyannaya_bro_lounge/reviews/,Другое
Барвиха Lounge Митино,"3 мин. • Волоколамская Пятницкое шоссе, 3, Этаж 3, Москва",развлечения,5.0,191,https://zoon.ru/msk/entertainment/kalyannaya_barviha_lounge_mitino/reviews/,Другое
Банка,"142000, улица Кирова, 7 к1, помещение 11, Домодедово",развлечения,5.0,2,https://zoon.ru/msk/entertainment/loft_banka_v_domodedovo/#reviews,Другое
Pravda Lounge,"1 мин. • Новогиреево Свободный проспект, 20А, 3 этаж, Москва",развлечения,5.0,5,https://zoon.ru/msk/entertainment/bar_pravda_lounge/#reviews,ВАО
Wow Land,"51 мин. • Котельники Октябрьский проспект, 368, 3 этаж, Люберцы",развлечения,5.0,2,https://zoon.ru/msk/entertainment/kompaniya_po_organizatsii_detskih_prazdnikov_wow_land_na_oktyabrskom_prospekte_368_v_lyubertsah/#reviews,Другое
Шелби Лаунж,"9 мин. • Шоссе Энтузиастов Электродная улица, 8с4, вверх по лестнице, черная металлическая дверь с правой стороны, Москва",развлечения,5.0,28,https://zoon.ru/msk/entertainment/kalyannaya_shelbi_launzh_na_elektrodnoj_ulitse/reviews/,Другое
Pixel Quest,"1 мин. • Киевская площадь Киевского Вокзала, 2, Москва",развлечения,4.9,9,https://zoon.ru/msk/entertainment/kvest_pixel_quest_na_ploschadi_kievskogo_vokzala_2/reviews/,Другое
Барвиха Lounge Раменки,"8 мин. • Раменки Мичуринский проспект, 9 к5, Москва",развлечения,4.9,180,https://zoon.ru/msk/entertainment/kalyannaya_barviha_lounge_ramenki/reviews/,ЗАО
Block smoke,"4 мин. • Варшавская Варшавское шоссе, 83 ст1, цокольный этаж, Москва",развлечения,5.0,53,https://zoon.ru/msk/entertainment/tsentr_parovyh_koktejlej_block_smoke/reviews/,Другое
Другие Миры,"4.3 км • Митино Дачная улица, 11А, Красногорск",развлечения,4.9,30,https://zoon.ru/msk/entertainment/park_virtualnoj_realnosti_drugie_miry_na_dachnoj_ulitse_v_krasnogorske/reviews/,СЗАО
МСК Lounge,"2 мин. • Беляево Профсоюзная улица, 102с1, 3-й этаж, секция 314А, Москва",развлечения,4.9,26,https://zoon.ru/msk/entertainment/kalyannaya_msk_moskovskaya_set_kalyannyh_na_metro_belyaevo/reviews/,Другое
Трушка,"14 мин. • Выхино Вешняковская улица, 18А, Москва",развлечения,4.9,161,https://zoon.ru/msk/entertainment/kompyuternyj_klub_trushka_na_veshnyakovskoj_ulitse/reviews/,Другое
Барвиха Lounge Селигерская,"6 мин. • Селигерская Дмитровское шоссе, 85, Москва",развлечения,4.9,312,https://zoon.ru/msk/entertainment/kalyannaya_barviha_lounge_seligerskaya/reviews/,Другое
Котя Мотя,"1 мин. • Пыхтино улица Лётчика Ульянина, 4, 1 этаж, Москва",развлечения,4.8,5,https://zoon.ru/msk/entertainment/kotokafe_kotya_motya/reviews/,Другое
Барвиха Lounge Киевская,"3 мин. • Киевская улица Киевская, 2, Москва",развлечения,4.9,314,https://zoon.ru/msk/entertainment/kalyannaya_barviha_lounge_kievskaya-3e0a/reviews/,Другое
Детская бухта,"21 мин. • Щёлковская Сиреневый бульвар, 9А, 1 этаж, Москва",развлечения,5.0,89,https://zoon.ru/msk/entertainment/plavatelnyj_klub_detskaya_buhta_na_metro_schyolkovskaya/reviews/,Другое
Бэби-кулинар,"11 мин. • Бауманская улица Фридриха Энгельса, 46 ст7, 1 этаж; 1 подъезд, Москва",развлечения,4.9,12,https://zoon.ru/msk/entertainment/detskaya_kulinarnaya_shkola_bebi-kulinar_na_ulitse_fridriha_engelsa/reviews/,Другое
Боулинг Про,"5 мин. • Коломенская проспект Андропова, 36, 4 этаж, Москва",развлечения,4.8,642,https://zoon.ru/msk/entertainment/klub_bouling_pro_na_prospekte_andropova/reviews/,Другое
HookahMagic Lounge,"17 мин. • ВДНХ улица Космонавтов, 15, этаж 3, Москва",развлечения,4.8,15,https://zoon.ru/msk/entertainment/bar_hookahmagic_lounge_na_ulitse_kosmonavtov/reviews/,Другое
FPS Arena eSports Gaming Center,"5 мин. • Марьина Роща Ямская 1-я, 8, 1 этаж, Москва",развлечения,4.9,168,https://zoon.ru/msk/entertainment/kompyuternyj_klub_fps_arena_esports_gaming_center/reviews/,СВАО
Mos Lounge & Bar,"9 мин. • Братиславская Братиславская улица, 13, Москва",развлечения,5.0,11,https://zoon.ru/msk/entertainment/kalyannaya_mos_lounge_bar_v_marino_na_metro_bratislavskaya/reviews/,Другое
Барвиха Lounge Юго-Западная,"16 мин. • Юго-Западная Ленинский проспект, 146, Москва",развлечения,4.9,332,https://zoon.ru/msk/entertainment/kalyannaya_barviha_lounge_yugo-zapadnaya/reviews/,Другое
The Лазать,"14 мин. • Зорге 3-я Песчаная улица, 2с1, Москва",развлечения,4.9,7,https://zoon.ru/msk/entertainment/kafe_the_lazat/reviews/,Другое
ExitGames,"13 мин. • ЦСКА Берёзовой Рощи проезд, 12, 2 этаж, Москва",развлечения,4.6,115,https://zoon.ru/msk/entertainment/kvest_exitgames_na_metro_polezhaevskaya/reviews/,Другое
Планета Боулинг,"5 мин. • Партизанская Измайловское шоссе, 71к4Г-Д, 2 этаж, Москва",развлечения,4.8,496,https://zoon.ru/msk/entertainment/klub_planeta_bouling_v_izmajlovo/reviews/,Другое
Baza VR,"3 мин. • Щёлковская Щёлковское шоссе, 75, 5 этаж, Москва",развлечения,5.0,39,https://zoon.ru/msk/entertainment/klub_virtualnoj_realnosti_baza_vr/reviews/,Другое
