name,address,metro,price,area,price_per_sqm,district
Сдается офис,"Цветной бул. , 30",Цветной бульвар,240000.0,32.0,7500.0,ЦАО
Сдается помещение свободного назначения,"Сельскохозяйственная ул. , 26С5",Ботанический сад,280200.0,46.7,6000.0,СВАО
Сдается офис,"Лесная ул. , 43",Белорусская,300000.0,52.00208008320333,5769.0,ЦАО
Сдается офис,"Верейская ул. , 17",Давыдково,325600.0,203.5,1600.0,Другое
Сдается помещение свободного назначения,"Сельскохозяйственная ул. , 26С6",Ботанический сад,153000.0,25.5,6000.0,СВАО
Сдается офис,"Электрозаводская ул. , вл27",Преображенская площадь,14110000.0,8300.0,1700.0,ВАО
Сдается помещение свободного назначения,"Лихачёва просп. , 5",ЗИЛ,23960475.0,10649.1,2250.0,Другое
Сдается офис,"Цветной бул. , 30",Цветной бульвар,1725000.0,460.0,3750.0,ЦАО
Сдается офис,"Верейская ул. , 17",Давыдково,356800.0,223.0,1600.0,Другое
Сдается магазин,"Перерва метро (МЦД-2) ( Юго-Восточный адм. округ ) Перерва ул.                        , 8С1",Перерва,300000.0,70.30700726505742,4267.0,ВАО
Сдается офис,"Ленинский просп. , 158",Тропарево,55417.0,15.8018249215854,3507.0,Другое
Сдается магазин,"Перерва метро (МЦД-2) ( Юго-Восточный адм. округ ) Перерва ул.                        , 8С1",Перерва,420000.0,105.28954625219353,3989.0,ВАО
Сдается офис,"Ленинский просп. , 158",Тропарево,55417.0,15.8018249215854,3507.0,Другое
Сдается офис,"Ленинский просп. , 158",Тропарево,326000.0,111.30078525093889,2929.0,Другое
Сдается магазин,"Нижегородская ул. , 104С2",Нижегородская,800000.0,305.92734225621416,2615.0,ЮВАО
Сдается офис,"Ленинский просп. , 158",Тропарево,210583.0,56.59312012899758,3721.0,Другое
Сдается магазин,"Бехтерева ул. , 41К1",Царицыно,320000.0,80.8080808080808,3960.0,ЮАО
Сдается офис,"Ленинский просп. , 158",Тропарево,210583.0,56.59312012899758,3721.0,Другое
Сдается помещение свободного назначения,"Петровско-Разумовская метро (МЦД-1) ( Северный адм. округ ) Линейный пр-д                        , 6",Петровско-Разумовская,290000.0,123.40425531914893,2350.0,СВАО
Сдается помещение свободного назначения,"Котляковский 1-й пер. , 4к3",Каширская,75000.0,34.997666822211855,2143.0,ЮАО
Сдается помещение свободного назначения,"Парковая 14-я ул. , 4",Первомайская,120000.0,106.00706713780919,1132.0,ВАО
Сдается помещение свободного назначения,"Ефремова ул. , 10с1",Фрунзенская,7423750.0,1187.990078412546,6249.0,Другое
Сдается офис,"Ермакова Роща ул. , 1С1",Шелепиха,2217416.0,241.89113123159157,9167.0,Другое
Сдается помещение свободного назначения,"Рождественский бул. , 21С2",Сретенский бульвар,1100000.0,330.42955842595376,3329.0,Другое
Сдается помещение свободного назначения,"Нагорная ул. , 28К1",Нагорная,700000.0,232.7127659574468,3008.0,ЮАО
Сдается офис,"Ермакова Роща ул. , 1С1",Шелепиха,2703250.0,294.8892767535726,9167.0,Другое
Сдается помещение свободного назначения,"Селигерская ул. , 18К3",Селигерская,240000.0,64.49879064767535,3721.0,Другое
Сдается помещение свободного назначения,"Котляковский 1-й пер. , 4к3",Каширская,130000.0,44.998269297334716,2889.0,ЮАО
Сдается помещение свободного назначения,"Смоленский 1-й пер. , 19-21",Смоленская,8274000.0,197.0,42000.0,ЦАО
Сдается помещение свободного назначения,"Дмитровское ш. , 73С1",Верхние Лихоборы,45000.0,15.0,3000.0,Другое
Сдается помещение свободного назначения,"Зеленоград г. ( Зеленоградский адм. округ ) Новокрюковская ул. , 1824",Зеленоград,130000.0,139.93541442411194,929.0,Другое
Сдается помещение свободного назначения,Зеленоград г. ( Зеленоградский адм. округ ) Александровка ул.,Зеленоград,35000.0,21.99874292897549,1591.0,Другое
Сдается предприятие питания,"Старокачаловская ул. , 1А",Улица Старокачаловская,349000.0,147.00926705981465,2374.0,Другое
Сдается кафе/ресторан,"Старокачаловская ул. , 1А",Улица Старокачаловская,349000.0,147.00926705981465,2374.0,Другое
Сдается магазин,"Старокачаловская ул. , 1А",Улица Старокачаловская,349000.0,147.00926705981465,2374.0,Другое
Сдается гостиница/Отель,"Электрический пер. , 3/10С1",Белорусский вокзал,65000.0,11.000169233372821,5909.0,Другое
Сдается автосервис,"Бутово метро (МЦД-2) ( Юго-Западный адм. округ ) Варшавское ш.                        , 204",Бутово,158500.0,70.00883392226149,2264.0,Другое
Сдается стоматология,"Старокачаловская ул. , 1А",Улица Старокачаловская,349000.0,147.00926705981465,2374.0,Другое
Сдается медцентр,"Старокачаловская ул. , 1А",Улица Старокачаловская,349000.0,147.00926705981465,2374.0,Другое
Сдается автомойка,"Бутово метро (МЦД-2) ( Юго-Западный адм. округ ) Варшавское ш.                        , 204",Бутово,158500.0,70.00883392226149,2264.0,Другое
Сдается торговый центр,"Мира просп. , 92С1",Рижская,11264000.0,352.0,32000.0,СВАО
Сдается офис,"Красносельская Верхняя ул. , 17АС1Б",Красносельская,100000.0,24.20135527589545,4132.0,ЦАО
Сдается офис,"Красносельская Верхняя ул. , 17АС1Б",Красносельская,150000.0,34.89995346672871,4298.0,ЦАО
Сдается офис,"Красносельская Верхняя ул. , 17АС1Б",Красносельская,85000.0,19.10112359550562,4450.0,ЦАО
Сдается офис,"Красносельская Верхняя ул. , 17АС1Б",Красносельская,50000.0,10.098969905069684,4951.0,ЦАО
Сдается офис,"Красносельская Верхняя ул. , 17АС1Б",Красносельская,83000.0,19.799618320610687,4192.0,ЦАО
Сдается офис,"Красносельская Верхняя ул. , 17АС1Б",Красносельская,72000.0,15.901060070671377,4528.0,ЦАО
Сдается офис,"Красносельская Верхняя ул. , 17АС1Б",Красносельская,61000.0,13.301351940689054,4586.0,ЦАО
Сдается офис,"Трофимова ул. , 14С1",Автозаводская,207400.0,122.0,1700.0,ЮАО
