name,address,district,rating,reviews,lat,lon
"Бильярд для всех, школа спортивного бильярда","улица Лазо, 12",Другое,,,55.743108,37.771499
"Сокровища Фараона, боулинг-клуб","Зеленодольская улица, 30 к3",Другое,4.8,181.0,55.710775,37.770601
"Альбатрос, бильярдный клуб-бар","16-я Парковая улица, 39",Другое,4.7,50.0,55.806462,37.829076
"Беркут, бильярдный клуб","Уральская улица, вл1Б ст1",Другое,2.5,1.0,55.81107,37.797001
"Poolroom, бильярдный клуб","Вешняковская улица, 17Б",Другое,4.9,99.0,55.734547,37.831483
"Доминик, бильярдный клуб-бар","16-я Парковая улица, 30 ст3",Другое,2.4,8.0,55.808069,37.835923
"7 не 8, бильярдный клуб","Алтайская улица, 17а",Другое,4.1,12.0,55.820899,37.823047
"Луидор, бильярдный клуб","Ашхабадская улица, 2",Другое,3.0,4.0,55.753956,37.862518
"Праймшот, бильярдный клуб","Юбилейный проспект, 76",Другое,,,55.753279,37.885306
"Dream, кинотеатр","шоссе Энтузиастов, вл11 ст4",Другое,3.4,22.0,55.791058,37.885957
Бильярд клуб,"микрорайон 1 Мая, 4",Другое,,,55.808966,37.841048
"Москвич, дворец бильярдного спорта","Волгоградский проспект, 46/15 ст16",Другое,5.0,59.0,55.706633,37.737219
"Ош, бильярдный клуб","Люблинская улица, 4 к1а",Другое,,,55.708908,37.732102
"Феникс, сауна","Волжский бульвар, 16 к1",Другое,4.3,76.0,55.712544,37.744128
Сауна,"Окская улица, 36 к1",Другое,3.7,4.0,55.715525,37.771415
"Пирамида, бильярдный клуб","Спортивный проезд, 5",Другое,4.0,10.0,55.68338,37.754685
Бильярдная,"улица Юных Ленинцев, 117 к1 ст1",Другое,5.0,1.0,55.697629,37.786861
"Шпиль, бильярдный клуб","Люблинская улица, 59",Другое,5.0,5.0,55.68548,37.738228
"Дуплет, бильярдный клуб","улица Кухмистерова, 20 к2",Другое,4.5,7.0,55.682937,37.729986
Бильярдный клуб,"1-я Новокузьминская улица, 16 к2",Другое,,,55.713786,37.79015
"PlayTime, антикафе","Братиславская улица, 18 к1",Другое,3.7,5.0,55.658016,37.758759
"Узген, бильярдный клуб","улица Трофимова, 36 к1",Другое,4.0,3.0,55.704062,37.686079
3 Kenta,"Лермонтовский проспект, 19",Другое,,,55.700081,37.855853
"Dream Game Center, игровой центр для детей и молодежи","Андропова проспект, 1",Другое,2.6,45.0,55.693043,37.672167
"Лагуна, банный комплекс","Луговой проезд, 11",Другое,5.0,169.0,55.64637,37.755527
"Ковчег, ресторан","Жулебинский бульвар, 25",Другое,4.1,13.0,55.689539,37.85247
"Азарт, бильярдный клуб","Волгоградский проспект, 32 ст8",Другое,,,55.722726,37.686818
"Изумруд, бильярдный клуб","Люблинская улица, 126",Другое,3.0,4.0,55.645768,37.743534
"Лига, бильярдный клуб","улица Мусы Джалиля, 4 к6",Другое,4.9,249.0,55.628681,37.740983
"Бильярд классик, бильярдный зал","Волгоградский проспект, 32 ст8",Другое,,,55.722499,37.690566
База,"Электролитный проезд, 3 ст1",Другое,4.5,42.0,55.674943,37.615716
Бильярдный зал,"Люблинская улица, 102а",Другое,,,55.651436,37.742559
Бильярдный мир,"Поречная улица, 10",Другое,,,55.65019,37.769661
"312, бильярдный клуб","Андропова проспект, 37",Другое,1.4,2.0,55.673232,37.664701
"Киноформат, киноцентр","улица Побратимов, 7",Другое,3.9,53.0,55.692482,37.896572
Бильярдный клуб,"Андропова проспект, 36",Другое,,,55.675992,37.662287
"Жулебино kg, бильярдный клуб","улица Генерала Кузнецова, 28 к1",Другое,5.0,2.0,55.683169,37.852587
"Реванш, бильярдный клуб","улица Борисовские Пруды, 12 к1",Другое,,,55.636132,37.74325
"Аляска, бар-бильярдная","Октябрьский проспект, 198",Другое,3.3,4.0,55.67726,37.895325
"Маяк, сауна","Поречная улица, 3 к3",Другое,4.9,41.0,55.645534,37.75115
"Бронзовый лев, английский паб","Бакинская улица, 6",Другое,4.6,197.0,55.626347,37.656635
Бильярдный клуб,"Болотниковская улица, 12",Другое,,,55.656721,37.607422
Бильярдный зал,"Азовская улица, 18",Другое,,,55.656276,37.597956
"Poolschool, детская школа бильярда","Электролитный проезд, 7 к2",Другое,5.0,12.0,55.674952,37.611452
"Панда Клуб, бильярдный клуб","улица Бутлерова, 17",Другое,4.7,6.0,55.650806,37.540953
"Дружба, бильярдный клуб","Кировоградская улица, 11 к1",Другое,4.2,5.0,55.614631,37.606559
"План Б, бильярдный класс","улица Бутлерова, 17",Другое,,,55.650885,37.539686
3-стола,"Кантемировская улица, 6 к1",Другое,,,55.637745,37.678041
"Принц парк отель, гостиничный комплекс","Новоясеневский проспект, 1Б к1",Другое,4.2,764.0,55.617523,37.511901
"Билич, бильярдный бар","Чертановская улица, 47 к2",Другое,4.9,10.0,55.604298,37.592909
"Кочевники, чайхана","Миклухо-Маклая улица, 42Б",Другое,4.0,14.0,55.637987,37.54163
"Своя Атмосфера, г. Москва","Чертановская улица, 47 к1",Другое,,,55.604585,37.590752
"ВернадсКий, бильярдный клуб","Вернадского проспект, 37 к2",Другое,3.2,2.0,55.677533,37.509264
"Космик, развлекательные центры","Вернадского проспект, 6",Другое,3.1,687.0,55.692096,37.528169
"Арена, бильярдный клуб","улица Намёткина, 3",Другое,,,55.666199,37.546628
"Rich-House, банный комплекс и сауна","улица Новаторов, 7а к2",Другое,4.6,20.0,55.662994,37.52721
"Duya, бильярдный зал","Миклухо-Маклая улица, 47а",Другое,,,55.643601,37.524451
"Сc hot pot & бильярд, бильярдный зал","улица Покрышкина, 2 к1",Другое,5.0,3.0,55.663971,37.481927
"Принц, бильярдный клуб","Новоясеневский проспект, 1Б к1",Другое,3.5,3.0,55.61732,37.511184
"Шварцвальд, ресторан","улица Удальцова, 42",Другое,4.1,19.0,55.683721,37.490906
"Бирхен, ресторан","Каширское шоссе, 80",Другое,1.5,4.0,55.62481,37.709192
"Планета, бильярдный клуб","Миклухо-Маклая улица, 18 к1",Другое,3.3,7.0,55.645857,37.517456
"Тимур, ресторан-бильярдная","Ленинский проспект, 146",Другое,3.6,18.0,55.656436,37.495692
