place_name,district,address,search_query,yandex_name,yandex_address,yandex_categories,yandex_maps_url,status,error
"Лагуна, банный комплекс",ЮВАО,"Луговой проезд, 11","Лагуна, банный комплекс Луговой проезд, 11 Москва",Лагуна,"Москва, Луговой пр., 11","Сауна, баня, оздоровительный центр",https://yandex.com/maps/org/sauna_laguna/239816207614/,found,
"Ковчег, ресторан",ЮВАО,"Жулебинский бульвар, 25","Ковчег, ресторан Жулебинский бульвар, 25 Москва",Ковчег,"Москва, Жулебинский бул., 25",Ресторан,https://yandex.com/maps/org/kovsheg/1305788613/,found,
"Азарт, бильярдный клуб",ЮВАО,"Волгоградский проспект, 32 ст8","Азарт, бильярдный клуб Волгоградский проспект, 32 ст8 Москва",Азарт,"Москва, Волгоградский просп., 32, корп. 8",Бильярдный клуб,https://yandex.com/maps/org/azart/114698763108/,found,
"Изумруд, бильярдный клуб",ЮВАО,"Люблинская улица, 126","Изумруд, бильярдный клуб Люблинская улица, 126 Москва",Бильярдный клуб Изумруд,"Москва, Люблинская ул., 126","Бильярдный клуб, кальян-бар, бар",https://yandex.com/maps/org/billiard_club_izumrud/19661974599/,found,
"Лига, бильярдный клуб",ЮАО,"улица Мусы Джалиля, 4 к6","Лига, бильярдный клуб улица Мусы Джалиля, 4 к6 Москва",Лига,"Москва, ул. Мусы Джалиля, 4, корп. 6","Бильярдный клуб, спортбар",https://yandex.com/maps/org/liga/157168697301/,found,
"Бильярд классик, бильярдный зал",ЮВАО,"Волгоградский проспект, 32 ст8","Бильярд классик, бильярдный зал Волгоградский проспект, 32 ст8 Москва",Billiard Classic,"Москва, Волгоградский просп., 32, корп. 8","Бильярдный клуб, чайхана",https://yandex.com/maps/org/billiard_classic/234358598580/,found,
База,ЮАО,"Электролитный проезд, 3 ст1","База Электролитный проезд, 3 ст1 Москва",База,"Москва, Электролитный пр., 3, стр. 1","Ресторан, спортивно-развлекательный центр, бильярдный клуб",https://yandex.com/maps/org/baza/157885747405/,found,
Бильярдный зал,ЮВАО,"Люблинская улица, 102а","Бильярдный зал Люблинская улица, 102а Москва",Бильярд,"Москва, Люблинская ул., 102А",Бильярдный клуб,https://yandex.com/maps/org/bilyard/214390508399/,found,
Бильярдный мир,ЮВАО,"Поречная улица, 10","Бильярдный мир Поречная улица, 10 Москва",Бильярдный Мир,"Москва, Поречная ул., 10",Бильярдный клуб,https://yandex.com/maps/org/bilyardny_mir/34815015230/,found,
"312, бильярдный клуб",Другое,"Андропова проспект, 37","312, бильярдный клуб Андропова проспект, 37 Москва",312,"Москва, просп. Андропова, 37","Бильярдный клуб, игровые приставки, бар",https://yandex.com/maps/org/312/202611811289/,found,
"Киноформат, киноцентр",Другое,"улица Побратимов, 7","Киноформат, киноцентр улица Побратимов, 7 Москва",Киноформат,"Люберцы, ул. Побратимов, 7",Кинотеатр,https://yandex.com/maps/org/kinoformat/2530288898/,found,
Бильярдный клуб,ЮАО,"Андропова проспект, 36","Бильярдный клуб Андропова проспект, 36 Москва",Восьмерка,"Москва, просп. Андропова, 36",Бильярдный клуб,https://yandex.com/maps/org/vosmerka/230736427264/,found,
"Жулебино kg, бильярдный клуб",ЮВАО,"улица Генерала Кузнецова, 28 к1","Жулебино kg, бильярдный клуб улица Генерала Кузнецова, 28 к1 Москва",Билярд жулебино kg,"Москва, ул. Генерала Кузнецова, 28, корп. 1",Бильярдный клуб,https://yandex.com/maps/org/bilyard_zhulebino_kg/142402888524/,found,
"Реванш, бильярдный клуб",ЮАО,"улица Борисовские Пруды, 12 к1","Реванш, бильярдный клуб улица Борисовские Пруды, 12 к1 Москва",Реванш,"ул. Борисовские Пруды, 12, корп. 1, Москва","Бильярдный клуб, бар, игровой клуб",https://yandex.com/maps/org/revansh/75290891306/,found,
"Аляска, бар-бильярдная",Другое,"Октябрьский проспект, 198","Аляска, бар-бильярдная Октябрьский проспект, 198 Москва",Аляска,"Люберцы, Октябрьский просп., 198","Ресторан, банкетный зал, бильярдный клуб",https://yandex.com/maps/org/alyaska/1771564435/,found,
"Маяк, сауна",ЮВАО,"Поречная улица, 3 к3","Маяк, сауна Поречная улица, 3 к3 Москва",Маяк,"Москва, Поречная ул., 3, корп. 3","Сауна, баня, спа-салон",https://yandex.com/maps/org/mayak/161404822632/,found,
"Бронзовый лев, английский паб",ЮАО,"Бакинская улица, 6","Бронзовый лев, английский паб Бакинская улица, 6 Москва",Бронзовый Лев,"Москва, Бакинская ул., 6","Ресторан, бильярдный клуб",https://yandex.com/maps/org/bronze_lion/73006407924/,found,
Бильярдный клуб,ЮАО,"Болотниковская улица, 12","Бильярдный клуб Болотниковская улица, 12 Москва",Москворецкий,"Москва, Болотниковская ул., 12, стр. 4",Бильярдный клуб,https://yandex.com/maps/org/moskvoretskiy/2974661974/,found,
Бильярдный зал,ЮЗАО,"Азовская улица, 18","Бильярдный зал Азовская улица, 18 Москва",Бильярд,"Москва, Азовская ул., 18",Бильярдный клуб,https://yandex.com/maps/org/bilyard/110664235030/,found,
"Poolschool, детская школа бильярда",ЮАО,"Электролитный проезд, 7 к2","Poolschool, детская школа бильярда Электролитный проезд, 7 к2 Москва",Poolschool,"Москва, Электролитный пр., 7, корп. 2, стр. 3","Спортивный клуб, секция, бильярдный клуб",https://yandex.com/maps/org/poolschool/1195539103/,found,
"Панда Клуб, бильярдный клуб",ЮЗАО,"улица Бутлерова, 17","Панда Клуб, бильярдный клуб улица Бутлерова, 17 Москва",Клуб Панда,"Москва, ул. Бутлерова, 17",Бильярдный клуб,https://yandex.com/maps/org/panda/243216656138/,found,
"Дружба, бильярдный клуб",ЮАО,"Кировоградская улица, 11 к1","Дружба, бильярдный клуб Кировоградская улица, 11 к1 Москва",Дружба,"Москва, Кировоградская ул., 11, корп. 1","Бильярдный клуб, теннисный клуб",https://yandex.com/maps/org/druzhba/97892760350/,found,
"План Б, бильярдный класс",ЮЗАО,"улица Бутлерова, 17","План Б, бильярдный класс улица Бутлерова, 17 Москва",План Б Бильярд,"Москва, ул. Бутлерова, 17",Бильярдный клуб,https://yandex.com/maps/org/plan_b/116715201076/?yclid=13251179084833882111,found,
3-стола,ЮАО,"Кантемировская улица, 6 к1","3-стола Кантемировская улица, 6 к1 Москва",Центр госуслуг Мои документы,"Москва, ул. Медиков, 1/1к3",МФЦ,https://yandex.com/maps/org/tsentr_gosuslug_moi_dokumenty/1301448977/,found,
"Принц парк отель, гостиничный комплекс",ЮЗАО,"Новоясеневский проспект, 1Б к1","Принц парк отель, гостиничный комплекс Новоясеневский проспект, 1Б к1 Москва",Принц Парк Отель,"Москва, Новоясеневский просп., 1Б, корп. 1",Гостиница,https://yandex.com/maps/org/prince_park_hotel/1317022278/?yclid=11969603475300941823,found,
"Билич, бильярдный бар",ЮАО,"Чертановская улица, 47 к2","Билич, бильярдный бар Чертановская улица, 47 к2 Москва",Билич,"Москва, Чертановская ул., 47, корп. 2","Бильярдный клуб, спортбар",https://yandex.com/maps/org/bilich/116209778382/,found,
"Кочевники, чайхана",ЮЗАО,"Миклухо-Маклая улица, 42Б","Кочевники, чайхана Миклухо-Маклая улица, 42Б Москва",Чайхана 24 Бильярдный,"Москва, ул. Миклухо-Маклая, 42Б","Ресторан, кафе, бильярдный клуб",https://yandex.com/maps/org/chaykhana_24_bilyard/15604244235/,found,
"Своя Атмосфера, г. Москва",ЮАО,"Чертановская улица, 47 к1","Своя Атмосфера, г. Москва Чертановская улица, 47 к1 Москва",Своя Атмосфера,"Москва, Чертановская ул., 47, корп. 1","Бильярдный клуб, бар",https://yandex.com/maps/org/svoya_atmosfera/239284301631/,found,
"ВернадсКий, бильярдный клуб",ЗАО,"Вернадского проспект, 37 к2","ВернадсКий, бильярдный клуб Вернадского проспект, 37 к2 Москва",ВернадсКий,"Москва, просп. Вернадского, 37, корп. 2","Бильярдный клуб, ресторан, бар",https://yandex.com/maps/org/vernadskiy/151047942223/,found,
"Космик, развлекательные центры",ЗАО,"Вернадского проспект, 6","Космик, развлекательные центры Вернадского проспект, 6 Москва",Космик,"Москва, просп. Вернадского, 6","Магазин бильярда, развлекательный центр, боулинг, игровой клуб",https://yandex.com/maps/org/kosmik/1015408289/,found,
"Арена, бильярдный клуб",ЮЗАО,"улица Намёткина, 3","Арена, бильярдный клуб улица Намёткина, 3 Москва",Арена,"Москва, ул. Намёткина, 3",Бильярдный клуб,https://yandex.com/maps/org/arena/71603841066/,found,
"Rich-House, банный комплекс и сауна",ЮЗАО,"улица Новаторов, 7а к2","Rich-House, банный комплекс и сауна улица Новаторов, 7а к2 Москва",Богатый-дом,"Москва, ул. Новаторов, 7А, корп. 2","Сауна, баня",https://yandex.com/maps/org/rich_house/181942271004/,found,
"Duya, бильярдный зал",ЮЗАО,"Миклухо-Маклая улица, 47а","Duya, бильярдный зал Миклухо-Маклая улица, 47а Москва",Duya,"Москва, ул. Миклухо-Маклая, 47А","Бильярдный клуб, бар",https://yandex.com/maps/org/duya/44506499816/,found,
"Сc hot pot & бильярд, бильярдный зал",ЗАО,"улица Покрышкина, 2 к1","Сc hot pot & бильярд, бильярдный зал улица Покрышкина, 2 к1 Москва",СС hot pot & бильярд,"Москва, ул. Покрышкина, 2, корп. 1","Бильярдный клуб, кафе",https://yandex.com/maps/org/ss_hot_pot_bilyard/223115342604/,found,
"Принц, бильярдный клуб",ЮЗАО,"Новоясеневский проспект, 1Б к1","Принц, бильярдный клуб Новоясеневский проспект, 1Б к1 Москва",Принц,"Москва, Новоясеневский просп., 1Б, корп. 1","Бильярдный клуб, ресторан, развлекательный центр",https://yandex.com/maps/org/prince/196926850589/,found,
"Шварцвальд, ресторан",ЗАО,"улица Удальцова, 42","Шварцвальд, ресторан улица Удальцова, 42 Москва",Шварцвальд,"Москва, ул. Удальцова, 42","Ресторан, бар, бильярдный клуб",https://yandex.com/maps/org/shvartsvald/1009596131/,found,
"Бирхен, ресторан",ЮАО,"Каширское шоссе, 80","Бирхен, ресторан Каширское шоссе, 80 Москва",Бирхен,"Москва, Каширское ш., 80","Ресторан, караоке-клуб, бар",https://yandex.com/maps/org/birhen/1159163708/,found,
"Планета, бильярдный клуб",ЮЗАО,"Миклухо-Маклая улица, 18 к1","Планета, бильярдный клуб Миклухо-Маклая улица, 18 к1 Москва",Планета,"Москва, ул. Миклухо-Маклая, 18, корп. 1","Бильярдный клуб, бар, развлекательный центр",https://yandex.com/maps/org/planeta/133218628695/,found,
"Тимур, ресторан-бильярдная",ЗАО,"Ленинский проспект, 146","Тимур, ресторан-бильярдная Ленинский проспект, 146 Москва",Тимур,"Москва, Ленинский просп., 146",Ресторан,https://yandex.com/maps/org/timur/1002469070/,found,
"Беркут, бильярдный клуб",ЮАО,"улица Академика Янгеля, 6 к1","Беркут, бильярдный клуб улица Академика Янгеля, 6 к1 Москва",Беркут,"Москва, Уральская ул., 1Б, стр. 1",Бильярдный клуб,https://yandex.com/maps/org/berkut/101737305302/,found,
"Атлантис Кино, бильярдный зал",ЮАО,"Варшавское шоссе, 160","Атлантис Кино, бильярдный зал Варшавское шоссе, 160 Москва",Атлантис Кино,"Москва, Варшавское ш., 160","Кинотеатр, бильярдный клуб",https://yandex.com/maps/org/atlantis_kino/147325493902/,found,
"Бкм, бильярдный клуб",Другое,"улица Академика Варги, 8 к1","Бкм, бильярдный клуб улица Академика Варги, 8 к1 Москва",БКМ,"Москва, ул. Академика Варги, 8, корп. 1","Бильярдный клуб, ресторан",https://yandex.com/maps/org/billiard_club_moscow/177957160313/,found,
Китайский бильярдный клуб,ЗАО,"Вернадского проспект, 89 к1","Китайский бильярдный клуб Вернадского проспект, 89 к1 Москва",Бильярдный клуб,"Москва, просп. Вернадского, 89, корп. 1",Бильярдный клуб,https://yandex.com/maps/org/bilyardny_klub/130646507958/,found,
Бильярдный клуб,ЗАО,"улица Лобачевского, 114","Бильярдный клуб улица Лобачевского, 114 Москва",Бильярдный клуб,"Москва, ул. Лобачевского, 114",Бильярдный клуб,https://yandex.com/maps/org/bilyardny_klub/206309323823/,found,
"Poolschool, детская школа бильярда",ЮЗАО,"Новоясеневский проспект, 2а","Poolschool, детская школа бильярда Новоясеневский проспект, 2а Москва",Poolschool,"Москва, Новоясеневский просп., 2А, стр. 1","Спортивный клуб, секция, спортивная школа, спортивно-развлекательный центр, бильярдный клуб",https://yandex.com/maps/org/poolschool/231684386744/,found,
Модус V,ЗАО,"32-й квартал, вл16 ст2","Модус V 32-й квартал, вл16 ст2 Москва",Центр госуслуг Мои документы,"Москва, Домостроительная ул., 2А",МФЦ,https://yandex.com/maps/org/tsentr_gosuslug_moi_dokumenty/1381941210/,found,
Бильярдная комната,ЗАО,"Торговая улица, ст1","Бильярдная комната Торговая улица, ст1 Москва",Бильярдный клуб № 1,"Москва, Киевская ул., 2","Бильярдный клуб, караоке-клуб, ресторан",https://yandex.com/maps/org/bilyardnyy_klub_1/77420212090/,found,
"Экипаж, гостиничный комплекс",Другое,"1-я Рейсовая улица, 13","Экипаж, гостиничный комплекс 1-я Рейсовая улица, 13 Москва",Экипаж,"посёлок Внуково, 1-я Рейсовая ул., 13",Гостиница,https://yandex.com/maps/org/ekipazh/31237182185/,found,
